,category,tech1,description,fit,title,also_buy,image,tech2,brand,feature,rank,also_view,details,main_cat,similar_item,date,price,asin
86,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']",,['Official OEM Wall / Home Charger for Blackberry 8130 Pearl  Phone!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Wall / Home Charger for Blackberry 8130 Pearl Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,BlackBerry,"['Safely and accurately charge your phone using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, this will charge your phone quickly to 80 percent?', '- then, it slowly and precisely charges to 100 percent.']","['>#5,308,562 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#34,086 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers', '>#5,304,727 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199308133
87,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']",,[],,LG Official OEM Travel Wall Charger for G`zOne BOULDER Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#2,090,754 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#16,530 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers', '>#2,088,356 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199502363
88,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['High Performance Car / Vehicle Charger for Nokia E52 Metal Grey  Phone with a Premium White LED!'],,High Performance Car / Vehicle Charger for Nokia E52 Metal Grey Phone with a Premium White LED!,[],[],,Wireless Solutions,"['Professional Quality with a White LED makes this charger unique and sought out.', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull White LED lets you know when this is charging correctly.', 'Cord is double insulated and shielded and measures up to 6ft long.']","['>#7,420,149 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#73,702 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#178,998 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#288,792 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Home Audio & Theater,,"September 2, 2009",,8199800631
89,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Rapid/Fast Rate Home Charger for Motorola MOTO Z6c World Edition Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,OEM Mid-Size Wall/Home Charger for Motorola MOTO Z9 Phone! Official Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Motorola,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#1,689,535 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#55,950 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#1,687,468 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199407611
90,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Rapid/Fast Rate Home Charger for Nokia 5800 XpressMusic Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Rapid/Fast Rate Home Charger for Nokia 5800 XpressMusic Phone with fixed blades! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#4,536,612 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#121,026 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#4,533,011 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199607688
91,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official OEM Car Charger for Blackberry 7130 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Official OEM Car Charger for Blackberry 7130 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,BlackBerry,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#7,356,346 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#71,684 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#175,243 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#283,889 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},All Electronics,,"March 13, 2009",,8199208430
92,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Rapid/Fast Rate Home Charger for Nokia 5310 XpressMusic Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Rapid/Fast Rate Home Charger for Nokia 5310 XpressMusic Phone with fixed blades! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#2,022,144 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#65,343 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#2,019,807 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199607602
93,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['LG Official OEM Car Charger for Rumor2 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,LG Official OEM Car Charger for Rumor2 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#7,184,365 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#68,142 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#168,848 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#275,095 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199902906
94,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['BlackBerry Bold 9780 Phone Heavy Duty Plug-In Car / Vehicle Charger!'],,BlackBerry Bold 9780 Phone Heavy Duty Plug-In Car / Vehicle Charger!,[],[],,Wireless Solutions,"['An outstanding quality charger at a reasonable price!', 'Official circuitry means accurate and safe.', 'One year warranty is offered by the manufacturer against defects.', 'The first automatic stage of this charger offers fast charging until 95% bettery life.', 'The second automatic stage of this charger is ""trickle"" charge and fully optimizes your battery to 100%.']","['>#6,572,354 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#60,185 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#154,271 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#254,096 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199807385
95,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['LG Official OEM Travel Wall Charger for VX-8360 Phone!  Original Equipment and Manufacturer (AC 110-220 volt)'],,LG Official OEM Travel Wall Charger for VX-8360 Phone! Original Equipment and Manufacturer,[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#1,316,039 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#44,978 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#1,314,313 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199900393
96,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official OEM Car Charger for Blackberry 7510 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Official OEM Car Charger for Blackberry 7510 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,BlackBerry,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#7,146,694 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#67,502 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#167,460 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#273,432 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},All Electronics,,"March 13, 2009",,8199208503
97,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official Nokia OEM Car Charger for your Nokia 6086 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Official Nokia OEM Car Charger for your Nokia 6086 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#6,851,736 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#63,468 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#160,391 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#262,880 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199704381
98,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Retractable Car Charger for LG enV3 Phone !  Cord recoils for a complete portable solution!'],,Retractable Car Charger for LG enV3 Phone ! Cord recoils for a complete portable solution!,[],[],,Wireless Solutions,"['The perfect solution to those hard to take cords and other bulky chargers!', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull Red LED lets you know when this is charging correctly.', 'Shielded Cord measures up to 3ft long.']","['>#2,761,856 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#28,949 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#84,192 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#136,298 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199903694
99,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']",,['Official OEM Nokia Travel Wall Charger for your Nokia 3120 classic Phone!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Nokia Travel Wall Charger for your Nokia 3120 classic Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#1,766,978 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#14,308 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers', '>#1,764,848 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199609958
100,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Heavy Duty Plug-In Car / Vehicle Charger for Motorola W376g Phone!'],,Heavy Duty Plug-In Car / Vehicle Charger for Motorola W376g Phone!,[],[],,Wireless Solutions,"['Complete your phone accessories with this quality charger at a fraction of the price!', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull Red LED lets you know when this is charging correctly.', 'Cord is double insulated and shielded and measures up to 6ft long.']","['>#4,911,957 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#47,820 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#128,060 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#213,992 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},All Electronics,,"December 7, 2009",,819950028X
101,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Nokia Official OEM Car Charger for your N97 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Nokia Official OEM Car Charger for your N97 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#3,254,971 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#33,381 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#94,662 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#155,761 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199807768
102,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Mid-Rate Home Charger for Motorola RIVAL Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Mid-Rate Home Charger for Motorola RIVAL Phone with fixed blades! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Motorola,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#3,163,380 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#92,819 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#3,160,337 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199908351
103,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official Nokia OEM Car Charger for your Nokia BH-801 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Official Nokia OEM Car Charger for your Nokia BH-801 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#7,481,402 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#76,967 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#184,777 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#296,135 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},All Electronics,,"September 2, 2009",,8199705663
104,"['Cell Phones & Accessories', 'Accessories', 'Batteries & Battery Packs', 'Replacement Batteries']",,['Official OEM Rapid/Fast Rate Home Charger for Motorola MOTO Z9 Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,OEM Mid-Size Wall/Home Charger for Motorola V950 Renegade Phone! Official Original Equipment and Manufacturer (AC 110-220 volt),[],"['https://images-na.ssl-images-amazon.com/images/I/41Xzb3-WT%2BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414ev9iAHfL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Ct6cDIXnL._SX38_SY50_CR,0,0,38,50_.jpg']",,Motorola,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#5,703,151 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#35,403 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers', '>#39,328 in Cell Phones & Accessories > Cell Phone Accessories > Batteries & Battery Packs > Replacement Batteries', '>#5,699,197 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,819940762X
105,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Professional Motorola V750 Adventure Folding Blade Wall Charger for your Phone!'],,Professional Motorola V750 Adventure Folding Blade Wall Charger for your Phone!,[],[],,Wireless Solutions,"['Complete your phone accessories with this quality charger at a fraction of the price!', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull Red LED lets you know when this is charging correctly.', 'Cord is double insulated and shielded and measures up to 6ft long.']","['>#1,915,511 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#62,435 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#1,913,256 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199908661
106,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Wall Chargers']",,[],,Samsung Official OEM Travel Wall Charger for your SCH-R600 HUE II Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Samsung,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#6,740,608 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#38,875 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers', '>#6,736,380 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199502444
107,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Mid-Rate Home Charger for Motorola Droid Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Mid-Rate Home Charger for Motorola Droid Phone with fixed blades! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Motorola,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#5,155,066 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#131,803 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#5,151,275 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199303123
108,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['LG Official OEM Travel Wall Charger for CF360 Phone!  Original Equipment and Manufacturer (AC 110-220 volt)'],,LG Official OEM Travel Wall Charger for CF360 Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#1,946,498 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#63,264 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#1,944,218 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199809418
109,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official OEM Rapid/Fast Rate Home Charger for 9788199708402 10-PN-979 Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Retractable Car Charger for Nokia E71 Phone! Cord recoils for a complete portable solution!,[],[],,Wireless Solutions,"['The perfect solution to those hard to take cords and other bulky chargers!', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull Red LED lets you know when this is charging correctly.', 'Shielded Cord measures up to 3ft long.']","['>#7,123,208 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#67,195 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#166,866 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#272,659 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199708409
110,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['LG Official OEM Car Charger for VX8360 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,LG Official OEM Car Charger for VX8360 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#2,118,134 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#22,244 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#67,946 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#108,351 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199903120
111,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Generic Micro USB Car Charger'],,Car Charger for Verizon LG Dare VX9700 VX-9700 enV2,[],[],,Generic,['Quality and value'],"['>#6,690,111 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#61,488 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#156,719 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#257,716 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Cell Phones & Accessories,,,,8199408197
112,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Official OEM Rapid/Fast Rate Home Charger for Nokia 6650 Fold Phone with fixed blades!  Original Equipment and Manufacturer (AC 110-220 volt)'],,Official OEM Rapid/Fast Rate Home Charger for Nokia 6650 Fold Phone with fixed blades! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#3,515,774 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#100,246 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#3,512,575 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199607904
113,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['Professional Motorola RAZR2 V9x Folding Blade Wall Charger for your Phone!'],,Professional Motorola RAZR2 V9x Folding Blade Wall Charger for your Phone!,[],[],,Wireless Solutions,"['Complete your phone accessories with this quality charger at a fraction of the price!', 'Has a two stage digital chip built in for accurate charging at fast and slow speeds.', 'High quality ABS grade plastic means this charger will outlast the competition.', 'Powerfull Red LED lets you know when this is charging correctly.', 'Cord is double insulated and shielded and measures up to 6ft long.']","['>#2,918,377 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#87,636 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#2,915,451 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199908599
114,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters', 'Car Chargers']",,['Official Nokia OEM Car Charger for your Nokia N-95 Phone!  Original Equipment and Manufacturer (DC 12 volt)'],,Official Nokia OEM Car Charger for your Nokia N-95 Phone! Original Equipment and Manufacturer (DC 12 volt),[],[],,Nokia,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#7,211,379 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#68,649 in Cell Phones & Accessories > Cell Phone Accessories > Car Accessories > Car Chargers', '>#169,853 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#276,328 in Electronics > Accessories & Supplies > Vehicle Electronics Accessories']",[],{},Home Audio & Theater,,"February 22, 2010",,8199706449
115,"['Cell Phones & Accessories', 'Accessories', 'Chargers & Power Adapters']",,['LG Official OEM Travel Wall Charger for Rumor2 Phone!  Original Equipment and Manufacturer (AC 110-220 volt)'],,LG Official OEM Travel Wall Charger for Rumor2 Phone! Original Equipment and Manufacturer (AC 110-220 volt),[],[],,LG,"['Safely charge your phone from your car using the original authentic brand!', 'Using the authentic OEM brand will ensure your phones warranty is never voided!', 'Use of this official charger will prolong your batteries life compare to others!', 'As designed for your warranty, stage one charges quickly to 80%.', 'Then, stage two slowly and precisely charges to 100 percent.']","['>#840,551 in Cell Phones & Accessories (See Top 100 in Cell Phones & Accessories)', '>#30,396 in Cell Phones & Accessories > Cell Phone Accessories > Chargers & Power Adapters', '>#839,299 in Electronics > Cell Phones & Accessories']",[],{},Cell Phones & Accessories,,,,8199900164
